11a11dd078447,26/07/2013 20:26,2,2_4,2,4,NULL,(50:350);(130:348);(128:45);(48:45);,108.207.60.181,1,NULL,0
11a11dd078447,27/07/2013 20:26,2,2_5,2,5,NULL,(450:350);(370:348);(372:45);(454:45);,108.207.60.182,2,NULL,1
22b22dd078447,28/07/2013 20:26,2,2_4,2,4,NULL,(54:348);(133:342);(136:39);(45:42);,108.207.60.183,3,NULL,2
22b22dd078447,29/07/2013 20:26,2,2_5,2,5,NULL,(454:348);(373:342);(367:39);(462:42);,108.207.60.184,4,NULL,3
33c33dd078447,30/07/2013 20:26,2,2_4,2,4,NULL,(48:355);(128:350);(127:36);(43:36);(46:348);,108.207.60.185,5,NULL,4
33c33dd078447,31/07/2013 20:26,2,2_5,2,5,NULL,(472:355);(365:350);(362:36);(450:36);(470:348);,108.207.60.186,6,NULL,5
44d44dd078447,01/08/2013 20:26,2,2_4,2,6,NULL,(90:150);(480:145);(478:39);(92:42);,108.207.60.187,7,NULL,6
44d44dd078447,02/08/2013 20:26,2,2_5,2,5,NULL,(90:150);(480:145);(478:39);(92:42);,108.207.60.188,8,NULL,7
55e55dd078447,03/08/2013 20:26,2,2_4,2,4,NULL,(480:355);(468:350);(457:36);(481:36);(481:348);,108.207.60.189,9,NULL,8
55e55dd078447,04/08/2013 20:26,2,2_5,2,5,NULL,(20:355);(32:350);(47:36);(19:36);(19:348);,108.207.60.190,10,NULL,9
